goals_per_game,goals_against_per_game,power_play_percentage,penalty_kill_percentage,shots_per_game,shots_allowed,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,ties,power_play_efficiency,aboveAvgAdjWins
3.988,3.536,21.6,79.5,31.0238,29.4167,12.9,88.0,27.021729800000003,25.886696,7,0.03125,-1.9722222222222214
3.619,3.667,18.3,81.2,33.2619,33.6786,10.9,89.1,29.6363529,30.007632600000004,11,-0.016666666666666666,-5.972222222222221
3.798,3.798,18.1,77.4,29.7619,31.7976,12.8,88.1,25.9523768,28.0136856,11,-0.05764411027568922,-3.9722222222222214
4.369,3.19,23.9,83.2,32.4405,30.7262,13.5,89.60000000000001,28.0610325,27.5306752,7,0.075,14.027777777777779
3.952,3.19,20.9,83.0,34.4405,26.1071,11.5,87.8,30.4798425,22.922033799999998,7,0.04827586206896552,9.027777777777779
3.988,3.536,20.3,83.5,31.7976,31.881,12.5,88.9,27.8229,28.342209,10,0.04925053533190578,-2.4722222222222214
3.881,3.333,18.4,82.0,31.7738,30.0119,12.2,88.9,27.8973964,26.6805791,6,0.004651162790697674,5.527777777777779
3.429,2.869,21.0,82.4,30.369,29.0476,11.3,90.10000000000001,26.937303,26.1718876,11,0.06223175965665236,4.027777777777779
2.917,3.952,17.4,74.4,30.2262,30.4048,9.6,87.0,27.3244848,26.452176,7,-0.06367924528301887,-18.97222222222222
3.869,3.405,21.8,82.9,32.2024,28.4048,12.0,88.0,28.338112,24.996224,7,0.051685393258426963,1.0277777777777786
3.321,2.738,18.4,83.5,32.2262,27.3214,10.3,90.0,28.9069014,24.58926,12,0.025490196078431372,7.527777777777779
4.393,3.333,24.9,81.2,32.9167,28.869,13.3,88.5,28.538778899999997,25.549065,9,0.07488986784140969,6.027777777777779
3.357,3.31,21.9,83.7,29.0357,33.8095,11.6,90.2,25.6675588,30.496169000000002,11,0.05411764705882353,-2.9722222222222214
3.833,3.357,19.0,83.1,31.3929,29.4762,12.2,88.6,27.5629662,26.115913199999998,11,0.0044742729306487695,3.0277777777777786
2.881,4.012,15.9,77.2,27.9405,33.7619,10.3,88.1,25.062628500000002,29.744233899999998,8,-0.09615384615384616,-15.472222222222221
4.119,3.31,17.3,78.5,31.6905,29.4405,13.0,88.8,27.570735,26.143164,9,-0.03938730853391685,5.027777777777779
4.024,4.048,20.1,78.5,33.9881,34.381,11.8,88.2,29.977504200000002,30.324042000000002,10,-0.023668639053254437,-1.4722222222222214
3.643,2.619,18.3,81.1,31.631,29.0119,11.5,91.0,27.993435,26.400829,12,-0.03003003003003003,9.782608695652172
3.357,3.143,20.1,81.1,29.8929,30.4881,11.2,89.7,26.544895200000003,27.3478257,12,-0.013550135501355014,-1.217391304347828
3.56,2.75,23.0,84.6,34.1786,27.7143,10.4,90.10000000000001,30.624025600000003,24.970584300000002,8,0.06954436450839328,12.782608695652172
3.5,3.738,20.8,80.7,28.6786,31.7024,12.2,88.2,25.1798108,27.961516800000002,10,0.0,-3.217391304347828
3.56,3.393,18.8,82.0,32.5119,31.8571,10.9,89.3,28.968102899999998,28.4483903,13,0.009900990099009901,7.282608695652172
3.44,3.0,21.7,84.7,35.4762,25.1548,9.7,88.1,32.0350086,22.1613788,13,0.06718346253229975,5.282608695652172
3.357,2.595,22.6,84.7,28.2024,29.3095,11.9,91.10000000000001,24.8463144,26.7009545,9,0.08962264150943396,4.282608695652172
3.369,2.952,20.1,82.6,31.2024,30.1548,10.8,90.2,27.8325408,27.1996296,14,0.02577319587628866,4.782608695652172
2.393,4.726,14.5,73.3,25.5833,33.0476,9.4,85.7,23.178469800000002,28.321793200000002,9,-0.10804597701149425,-24.717391304347828
3.333,2.893,19.2,81.9,30.119,30.4048,11.1,90.5,26.775791,27.516344000000004,12,0.030501089324618737,5.782608695652172
2.774,2.774,15.9,82.6,27.2738,33.4286,10.2,91.7,24.491872400000002,30.654026200000004,17,-0.009779951100244499,-1.717391304347828
2.667,2.988,14.7,82.7,29.7976,27.3333,8.9,89.1,27.1456136,24.3539703,11,-0.002577319587628866,-7.717391304347828
3.298,3.131,18.1,81.6,31.0238,25.8571,10.6,87.9,27.735277200000002,22.7283909,10,-0.010362694300518135,0.7826086956521721
3.024,2.857,17.5,83.4,30.2976,29.2619,10.0,90.2,27.26784,26.394233800000002,9,-0.010443864229765013,0.28260869565217206
4.238,3.274,20.8,80.9,35.5952,27.4167,11.9,88.1,31.3593712,24.1541127,8,0.029411764705882353,6.782608695652172
3.214,3.369,20.5,81.2,30.5952,35.0714,10.5,90.4,27.382704,31.7045456,11,0.030952380952380953,2.282608695652172
3.595,3.048,21.2,80.7,31.4286,27.5119,11.4,88.9,27.845739599999998,24.458079100000003,13,-0.007317073170731708,5.282608695652172
3.107,3.631,18.4,80.5,30.3452,34.4167,10.2,89.5,27.2499896,30.8029465,14,-0.009950248756218905,-11.217391304347828
3.321,3.286,18.8,81.7,31.25,27.2024,10.6,87.9,27.9375,23.9109096,3,-0.0022675736961451248,-0.7173913043478279
2.726,2.988,14.4,82.7,28.5952,31.1429,9.5,90.4,25.878656,28.1531816,5,-0.034574468085106384,-7.717391304347828
3.405,3.155,18.4,84.1,30.4524,30.8214,11.2,89.8,27.0417312,27.6776172,13,0.029545454545454545,5.282608695652172
3.5,3.833,20.7,80.5,32.9643,36.2619,10.6,89.4,29.470084200000002,32.4181386,12,0.0045045045045045045,-10.217391304347828
3.0,3.155,16.0,78.6,25.0119,28.4405,12.0,88.9,22.010472,25.2836045,16,-0.02122641509433962,-2.217391304347828
2.833,2.521,13.4,81.2,30.0833,25.375,9.4,90.10000000000001,27.255469800000004,22.862875,8,-0.036585365853658534,1.1666666666666679
2.896,2.792,20.0,83.9,31.8542,26.3125,9.1,89.4,28.9554678,23.523375,3,0.03,-1.3333333333333321
3.125,2.75,19.6,80.8,27.375,26.8542,11.4,89.8,24.25425,24.1150716,4,0.014705882352941176,5.166666666666668
3.771,3.292,19.0,79.9,29.1667,32.875,12.9,90.0,25.4041957,29.587500000000002,3,-0.01809954751131222,5.666666666666668
3.125,2.646,21.8,86.9,34.3958,24.3333,9.1,89.1,31.265782200000004,21.680970300000002,3,0.10426540284360189,3.666666666666668
2.708,2.479,18.6,85.5,26.5833,30.375,10.2,91.8,23.8718034,27.88425,7,0.05371900826446281,0.6666666666666679
2.604,3.083,16.3,80.6,28.6667,31.9167,9.1,90.3,26.0580303,28.8207801,7,-0.05232558139534884,-3.333333333333332
2.813,3.042,17.0,84.9,31.6667,31.9167,8.9,90.5,28.8483637,28.8846135,8,0.04128440366972477,0.16666666666666785
2.396,2.646,13.1,83.2,24.8125,28.4583,9.7,90.7,22.4056875,25.8116781,6,-0.013513513513513514,-1.8333333333333321
2.5,3.0,14.1,84.4,26.6667,27.6042,9.4,89.1,24.1600302,24.5953422,3,-0.03954802259887006,-6.333333333333332
2.833,2.5,19.9,84.5,28.875,24.8333,9.8,89.9,26.04525,22.3251367,8,0.048672566371681415,1.1666666666666679
3.25,2.396,24.5,84.2,30.0625,24.8958,10.8,90.4,26.81575,22.505803200000003,5,0.07547169811320754,1.6666666666666679
3.75,2.438,24.2,86.4,32.7292,25.125,11.5,90.3,28.965342,22.687875000000002,4,0.11162790697674418,10.166666666666668
3.708,2.813,16.4,80.3,29.3958,28.25,12.6,90.0,25.6919292,25.425,5,-0.045454545454545456,5.666666666666668
