penalty_kill_percentage,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,missed_playoffs
79.8,12.2,89.60000000000001,26.8229,28.560000000000002,0
80.8,11.0,88.4,25.4095,25.3487,1
79.2,14.2,88.8,25.9116,30.2253,0
82.6,11.9,88.2,27.6634,24.696,0
83.2,12.1,88.6,26.479875,26.9344,0
80.8,11.4,89.2,26.413875,25.8234,0
77.5,10.3,87.6,26.2708875,28.17435,1
86.0,10.9,87.8,26.395875,23.179199999999998,0
83.8,11.1,90.5,28.492449999999998,25.045875000000002,0
77.7,11.8,87.3,25.46775,25.6771125,0
83.8,12.2,89.3,27.986250000000002,26.1760625,0
81.7,13.2,88.0,28.253399999999996,24.2,0
79.4,12.3,88.8,24.1942375,26.9508,0
77.6,10.1,86.7,26.947525000000002,25.6957125,0
83.0,14.1,89.5,25.877375,26.98425,0
81.8,11.6,88.7,27.56975,25.390375,0
76.5,13.1,88.6,24.179925,29.12725,1
84.8,12.2,90.3,28.897175,28.7041125,0
80.6,10.8,88.1,25.9126,25.2736875,1
79.9,13.5,87.8,27.485374999999998,27.63505,0
80.2,10.1,88.2,29.9367,25.787475,0
78.5,11.1,88.4,28.892500000000002,28.509,0
81.2,10.9,90.7,27.2089125,25.2486125,0
80.9,9.6,88.2,27.4025,27.45225,1
83.7,13.3,87.9,26.8878375,24.9526125,0
84.2,9.7,88.4,29.866725000000002,22.4094,0
81.4,12.9,88.6,26.979225,24.78585,0
83.5,11.7,90.2,26.2251,30.521425,0
78.1,12.0,87.7,27.192,27.077375,1
78.0,13.3,88.0,24.0267375,27.335,0
80.1,10.7,89.1,29.792712499999997,25.6051125,0
81.8,11.9,88.9,26.6392375,29.5925875,0
78.1,9.4,87.6,26.500500000000002,31.755,1
81.4,11.1,88.1,29.358158200000002,26.2621695,0
79.5,12.9,88.0,27.021729800000003,25.886696,0
81.2,10.9,89.1,29.6363529,30.007632600000004,1
77.4,12.8,88.1,25.9523768,28.0136856,1
83.2,13.5,89.60000000000001,28.0610325,27.5306752,0
83.0,11.5,87.8,30.4798425,22.922033799999998,0
83.5,12.5,88.9,27.8229,28.342209,0
82.0,12.2,88.9,27.8973964,26.6805791,0
82.4,11.3,90.10000000000001,26.937303,26.1718876,0
74.4,9.6,87.0,27.3244848,26.452176,1
82.9,12.0,88.0,28.338112,24.996224,0
83.5,10.3,90.0,28.9069014,24.58926,0
81.2,13.3,88.5,28.538778899999997,25.549065,0
83.7,11.6,90.2,25.6675588,30.496169000000002,0
83.1,12.2,88.6,27.5629662,26.115913199999998,0
77.2,10.3,88.1,25.062628500000002,29.744233899999998,1
78.5,13.0,88.8,27.570735,26.143164,0
78.5,11.8,88.2,29.977504200000002,30.324042000000002,0
81.1,11.5,91.0,27.993435,26.400829,0
81.1,11.2,89.7,26.544895200000003,27.3478257,0
84.6,10.4,90.10000000000001,30.624025600000003,24.970584300000002,0
80.7,12.2,88.2,25.1798108,27.961516800000002,1
82.0,10.9,89.3,28.968102899999998,28.4483903,0
84.7,9.7,88.1,32.0350086,22.1613788,0
84.7,11.9,91.10000000000001,24.8463144,26.7009545,0
